Tweet,total_characters,count_sentences,avg_words_length,count_words,count_unique_words,num_uppercase_chars,num_lowercase_chars,num_uppercase_words,num_lowercase_words,count_punctuations,count_blanks,count_numbers,count_special_characters,coleman_liau_index,gunning_fog,ari,dale_chall_readability,smog_index,linsear_write,flesch_kincaid_grade_level,flesch_reading_ease,Class
Just wish a lot of things were different.,41,1,4.25,8,8,1,32,0,7,1,7,0,1,10.635,8.2,6.12,0.3968,3.1291,0.5,1,103.54,1
Looks good man! Wish I would have found my soldering gun.. https://t.co/WEh2gY9iHE,82,4,5.916666667,12,12,8,53,1,11,8,11,2,8,14.51333333,7.866666667,8.996666667,0.5952,3.1291,0.25,-2,112.14,1
Who wants to go to the carnival in enid next to the mall?,57,1,3.461538462,13,10,1,43,0,12,1,12,0,1,7.704615385,8.276923077,5.721538462,0.6448,3.1291,0.692307692,0,115.5476923,1
"Por otro lado, ahora parece que estar despierto un buen rato extra, nada mas por que si...",90,3,4.352941176,17,16,1,68,0,16,5,16,0,5,10.10588235,9.325490196,11.17411765,0.8432,11.20814326,0.882352941,2,91.60098039,1
"Fu a ver avengers: age of ultron, vi como media hora en total, tanto as me gustan las pelis de super hroes. ",108,1,3.909090909,22,22,1,81,0,21,4,22,0,4,11.72,12.43636364,12.26363636,1.0912,8.841846275,0.5,8,76.83227273,1
RT @Faskil: A good way to get to know your date. http://t.co/HryhhBnuDV,71,2,5,12,11,8,44,2,11,8,11,0,8,14.05666667,9.066666667,5.373589744,0.5952,8.841846275,0.916666667,2,94.995,1
Exactly 2 years ago today! http://t.co/ue83BUMgWm,49,2,7.333333333,6,6,5,30,0,6,6,5,3,6,22.35333333,27.86666667,12.61714286,0.2976,3.1291,2,3,76.89,1
"@PlacidinCS que se ponga a correr, o a dejar de chelear y cenar tacos tan seguido.",82,1,4.1875,16,15,3,61,0,15,3,15,0,3,12.485,13.9,10.414375,0.7936,11.20814326,0.75,8,68.9825,1
"Very proud of how these came up, dunno nothing about gardens or flowers, somehow spring ju http://t.co/J0KN2g16TL http://t.co/iakevK1YlF",136,2,6.611111111,18,18,9,93,0,21,12,17,5,12,25.33777778,10.26666667,13.46033333,0.8928,11.20814326,0.555555556,4,80.2,1
"Louie, Louie, Louie, Louie...\
Louie, Louie, Louie, Louaaaaaaaaa...\
Louie, Louie, Louie, Louie-ee-ee...\
Louie, Louie, you're gonna cry-y",138,9,7.176470588,17,7,14,81,0,7,27,13,0,27,16.26117647,36.0496732,11.4495,0.8432,11.20814326,2.647058824,13,5.858954248,1
Olvidaba que en len tienes que ser un ojete manejando e ir a 2 cm del gey de adelante...  Pinche gente mamona y ventajosa.,122,4,4.083333333,24,23,2,91,0,21,4,24,1,4,9.156666667,14.06666667,7.335,1.1904,15.90318901,1.25,2,94.995,1
"Me dio mucho orgullo ver esto, ahora que anduve en mi alma mater. #FLISOL2015 http://t.co/A5xgNU9nN3",100,2,5.733333333,15,15,11,60,1,15,8,14,7,8,19.45333333,13.66666667,9.791041667,0.744,11.20814326,1,3,86.4225,1
RT @lion05: Diga no a la piratera. Use software libre! #FLISOL2015 #FLISOL RT,77,2,5,13,12,18,35,4,7,6,12,6,6,14.47384615,8.753846154,8.993076923,0.6448,8.841846275,0.461538462,0,109.1298077,1
@tifis Jordans?,15,1,7,2,2,1,11,0,1,2,1,0,2,13.5,0.8,14.895,0.0992,3.1291,0,9,35.605,1
Jared leto's \Marilyn Manson-lookin\" joker: http://t.co/oYOKe4cLY9",68,1,10.5,6,6,8,41,0,7,12,5,2,12,45.90666667,22.4,25.40142857,0.2976,13.0238668,1.5,18,-24.855,1
Me da miedo pensar cuando ya este middle-age y diga mis 'frases de onda' y me escuche como los middle-aged que conozco yo. #DeepThoughts,136,1,4.708333333,24,23,3,104,0,24,6,23,0,6,16.28666667,21.26666667,10.8675,1.1904,11.20814326,1.25,10,69.675,1
"Da un chingo de gusto ver comunidad tech reunida... \
\
Y un chingo de frustracin no estar ah. Fail.",100,5,4.05,20,16,3,71,1,15,7,17,0,7,6.2,7.6,3.804833333,0.992,11.20814326,0.45,-1,109.715,1
"@SalvadorBFM awesome,el vatote de azul es @eramos_89 veo tambien a @pacopedraza y @paquito_sm lol, pura vida! Con madre, que lo disfruten. ",139,2,5.619047619,21,21,5,100,0,20,11,21,2,11,20.30095238,19.43809524,19.79714286,1.0416,15.90318901,1.428571429,11,35.03464286,1
@SalvadorBFM que onda vato! Que tal esta el evento?,51,2,4.777777778,9,9,5,35,0,7,3,8,0,3,10.94222222,10.68888889,9.76,0.4464,11.20814326,1.333333333,3,80.0675,1
@PaolaNotPaolo nailed it! ,26,1,7.666666667,3,3,3,18,0,2,2,3,0,2,25.29333333,27.86666667,19.32,0.1488,8.841846275,2.333333333,17,-21.81,1
Do you consider yourself a success or more of a WIP?,52,1,3.818181818,11,10,4,37,1,9,1,10,0,1,9.305454545,15.30909091,6.335454545,0.5456,8.841846275,0.909090909,3,95.68818182,1
"Como quiero patinar! \
\
Pero dej mi skate... Argh.",51,5,4.2,10,9,3,32,0,5,7,7,0,7,-0.612,8.8,2.736,0.496,11.20814326,0.6,2,86.365,1
10 Daily Habits That Will Give You Incredible Willpower  Willpowered http://t.co/oYXpizVFHM,91,1,7.272727273,11,11,15,58,0,3,5,11,2,5,30.15272727,26.21818182,16.895,0.5456,13.0238668,1.636363636,8,57.23363636,1
"RT @ruby_plus: @gcaballa Please share the free coupons for TDD in Ruby course: \
https://t.co/RXn2taJVLJ with your followers.",125,2,6,18,18,13,82,2,15,12,16,1,12,21.74444444,19.15555556,13.81105263,0.8928,13.0238668,1.333333333,2,94.3,1
I need to check out this playlist. Like soon!!! #nerdist #nerdpower #geekmonday http://t.co/Q4BNEFjRF7,102,5,6.923076923,13,13,9,67,1,13,12,12,2,12,18.95076923,10.27076923,14.2097619,0.6448,8.841846275,1,1,93.56523077,1
"RT @SMARTCares: Let's unite for PacMan! #SugodManny\
https://t.co/KlDDASnXbS",76,2,8.625,8,8,20,38,1,6,11,6,0,11,32.66,16.6,20.07,0.3968,8.841846275,0.75,2,86.45,1
"Look up! Look up! Hopefully you can where you are, because I can't here ",72,2,4.142857143,14,11,4,50,1,11,4,14,0,4,10.21142857,14.22857143,9.456428571,0.6944,8.841846275,1.071428571,3,84.91571429,1
@360fitclub is Ortigas open tom?,32,1,5.6,5,5,1,22,0,4,2,4,3,2,15.912,10,11.214,0.248,3.1291,0.2,5,66.4,1
"RT @MakatiTraffic: ADVISORY: Lenten Traffic Re-routing on April 1 to 5, 2015. #MakatiTraffic http://t.co/POOf1KNOjc",115,2,7.285714286,14,14,24,59,2,6,12,13,7,12,28.27142857,17.08571429,16.238,0.6944,11.20814326,0.714285714,2,90.95857143,1
"RT @KatarinaRodri: I live for long, intellectual conversations you can almost consider as debates. I live for the people you can have them ",139,1,5.043478261,23,18,6,106,3,19,4,23,0,4,18.44869565,23.11304348,12.17043478,1.1408,14.55459255,1.130434783,10,65.78565217,1
RT @BuzzFeedStorm: Category 5 typhoon from ISS RT @AstroSamantha: Commands respect even from #space: we just flew over typhoon #Maysak. htt,139,1,5.666666667,21,18,15,95,3,12,8,20,1,8,21.71047619,19.82857143,14.54714286,1.0416,13.0238668,0.857142857,8,72.72,1
RT @DannyCrichton: Something to think about tomorrow RT @TechCrunch: When April Fools Gets More Love Than Good Policy http://t.co/NVWOFD0C8K,140,1,6.421052632,19,18,26,85,3,7,9,18,2,9,25.96842105,18.12631579,16.3045,0.9424,13.0238668,0.842105263,9,67.32894737,1
Friends... Now you know ,24,3,5,4,4,2,15,0,2,3,4,0,3,-2.72,10.53333333,1.9425,0.1984,3.1291,0.75,0,99.73166667,1
RT \@IMReadyPH: bugso: hanggang 210 kph at inaasahang kikilos pa-kanluran hilagang kanluran sa bilis na 20 kph. http://t.co/ulaxERn8gp",135,2,6.555555556,18,18,9,91,1,17,12,17,6,12,25.01111111,19.15555556,14.45877193,0.8928,17.1224134,1.166666667,8,56.7,1
This should be fun!!! \@BuzzFeedNews: .@Trevornoah Is The New Host Of The Daily Show http://t.co/vtVAl2chck http://t.co/wBZj2yn1I8",131,6,7.25,16,15,18,75,0,9,19,15,4,19,21.2425,11.06666667,14.05166667,0.7936,11.20814326,0.5625,-3,119.5283333,1
RT @ABSCBNNews: Half-Pinay sisters run 'best bistro in Paris' http://t.co/UoDRchrQ0E,84,1,7.5,10,10,17,47,1,8,10,9,1,10,30.632,12,16.85909091,0.496,8.841846275,0.4,4,86.705,1
"RT @ColIlegeStudent: If you're a STUDENT currently writing essays, this app will SAVE YOUR LIFE! https://t.co/2ox28oSvT3",120,2,6.5625,16,16,27,64,5,12,10,15,4,10,24.6,18.2,15.79,0.7936,11.20814326,0.9375,2,98.2525,1
RT @cj899: Its gonna be hella fun at @EstanciaPH tomorrow!! #EstanciaPopNShop http://t.co/8sHFzTiabE,100,3,7.416666667,12,12,14,60,1,10,11,11,4,11,25.8,14.93333333,17.68846154,0.5952,11.20814326,1,3,82.925,1
RT @ABC: Court's halt to gay marriage in Alabama prompts #LuvUAlabama campaign: http://t.co/DfP2NWD5RG - @AlyssaNewcomb http://t.co/qso7GZO,139,2,7.75,16,16,22,82,2,14,17,15,3,17,31.5825,18.2,17.41833333,0.7936,13.0238668,1.25,4,82.39,1
RT @HuffingtonPost: 18 things I will tell my future 18-year-old daughter http://t.co/X926rgl08b,95,1,7,12,12,6,60,2,11,9,11,9,9,28.28333333,18.13333333,15.87692308,0.5952,11.20814326,1,3,95.955,1
RT @ItsFrrankOcean: When your ex and your best friend hook http://t.co/dgDCPQ6IDi,81,1,6.454545455,11,10,12,51,1,10,7,10,1,7,24.80727273,18.94545455,12.97,0.5456,3.1291,0.909090909,2,103.3790909,1
RT @AmandaNer: Why do I like Junction so much?? ,48,2,4.333333333,9,9,7,28,2,4,4,9,0,4,8.982222222,10.68888889,7.666666667,0.4464,8.841846275,0.666666667,-2,117.6675,1
ppl here working subway now.,28,1,4.8,5,5,0,23,0,5,1,4,0,1,11.208,10,6.504,0.248,3.1291,0.6,-4,134.08,1
RT @itscarlosnigguh: That moment when you're about to buy alcohol but they don't ID you. ,89,1,4.933333333,15,15,5,64,2,14,5,15,0,5,17.11466667,19.33333333,13.388,0.744,11.20814326,1.266666667,8,67.53,1
Cutler is already playing with the Bea.......nevermind  https://t.co/mt1An4glH6,79,8,8.875,8,8,4,52,0,9,12,8,3,12,12.665,15.4,13.67766667,0.3968,11.20814326,1.5,3,78.92,1
@Julysses tax free for gun purchases !!! https://t.co/w1efKtQ4dY,64,4,7.125,8,8,4,42,0,8,9,7,2,9,16.44,15.8,13.79,0.3968,11.20814326,0.75,0,99.055,1
@PutMeOnBlast @ChicagoBears but y'all need a QB to throw to the WR....lol jokes on u......#CutlerSucks,102,10,5.866666667,15,14,12,62,2,13,14,14,0,14,4.450666667,8.6,6.892745098,0.744,13.0238668,0.8,3,75.5925,1
Wow really  https://t.co/VNI6ZRZsR6,35,1,10.66666667,3,3,8,17,0,4,5,3,2,5,42.93333333,14.53333333,19.605,0.1488,3.1291,1,-3,119.19,1
RT @FOX4: DFW: Police looking for attempted child abduction suspect http://t.co/dQgRLP3fWh,90,1,7.272727273,11,11,14,56,3,9,8,10,2,8,29.61818182,18.94545455,16.5025,0.5456,8.841846275,1.090909091,2,103.3790909,1
RT @CNNMex: #NepalEarthquake: Un joven de 18 aos es rescatado con vida a 6 das del #sismo http://t.co/ctj8wG9hT5 (Reuters) http://t.co/xP,137,2,5.9,20,20,13,82,1,17,17,19,6,17,21.518,10,11.13893939,0.992,11.20814326,0.6,3,90.935,1
@darealhappyfeet bet u didnt know @LaBronka was on 12 corazones La soltera ms codiciada Parte 1 - 12 Corazones http://t.co/aXsHZzPVzd,133,1,5.7,20,19,10,91,0,14,8,19,5,8,21.822,20,13.42571429,0.992,17.1224134,0.9,11,51.175,1
@darealhappyfeet @Gus_Laden @j_blaze82 http://t.co/pTeIhg1wJE,61,1,14.5,4,4,6,39,0,5,10,3,3,10,66.47,31.6,36.34,0.1984,11.20814326,1.5,21,-51.025,1
lol https://t.co/IUqUdT4j5F,27,1,13,2,2,5,14,0,4,5,1,2,5,48.78,20.8,20.14,0.0992,3.1291,0,-3,120.205,1
Nah is it gonna come on again later?? https://t.co/rxtcDOQAzE,61,3,5.888888889,9,9,6,40,0,10,7,8,0,7,14.18666667,10.08888889,9.33,0.4464,3.1291,0.555555556,1,90.99,1
"@Gus_Laden happy birthday to ur son, que cumpla muchos mas!!",60,2,5.1,10,10,2,44,0,9,5,9,0,5,13.56,10,11.83,0.496,8.841846275,1,4,74.86,1
@mutemor I don't follow him but Google gives u their @ names. Ur welcome,72,1,4.214285714,14,14,3,52,1,11,4,13,0,4,12.32571429,14.17142857,5.62,0.6944,3.1291,0.642857143,4,89.89642857,1
@ him tho @OficialCCastro  https://t.co/iv9pdToHuy,50,1,9,5,5,5,32,0,5,7,5,1,7,37.08,18,18.535,0.248,11.20814326,1.2,10,32.56,1
Hold up!!! Barcelona played yesterday and won 6-0 against Getafe and y'all didn't say anything!! Guess y'all thought I wasn't gonna find out,140,5,5.130434783,23,21,5,101,1,21,10,22,2,10,13.55652174,12.27478261,18.73956522,1.1408,13.0238668,1.130434783,3,80.7833913,1
"RT @FOX4: Rockets delete, apologize for offensive tweet sent after beating Mavericks  http://t.co/OG3LDXy8B1 http://t.co/0VB8e6AuoP",131,2,8.357142857,14,14,17,80,2,14,13,14,7,13,34.99142857,22.8,19.21104167,0.6944,14.55459255,1.285714286,7,60.74428571,1
Mavs lost Rangers lost .........Yo but the Yankees won!!!,57,12,5.444444444,9,8,4,33,0,5,12,8,0,12,-18.02666667,4.744444444,5.416666667,0.4464,3.1291,0.444444444,-2,112.07375,1
RT @johnnybabyyXO: @tlheweeknd @Lapetitejulie22 I thought this was dope. I hope what he said at the end of this pic was what he said lol ht,139,1,4.384615385,26,20,7,100,3,21,5,25,2,5,14.49692308,15.01538462,9.888076923,1.2896,11.20814326,0.423076923,7,89.33730769,1
RT @EyeSeeArt: Rap = Rhythm and Poetry. Something many of these \rappers\" keep forgetting.",92,2,5.642857143,14,14,9,61,1,7,9,13,0,9,18.61142857,14.22857143,9.016,0.6944,8.841846275,1,3,84.91571429,1
RT @veeejzilla: LA drivers are so savage.,41,1,5,7,7,4,28,2,5,3,6,0,3,14.41142857,14.22857143,8.984285714,0.3472,11.20814326,1.285714286,6,66.78714286,1
RT @tialaflare: please keep tellin us what we can't do ?,56,1,4.181818182,11,11,2,40,1,10,4,10,0,4,11.44363636,11.67272727,8.048181818,0.5456,8.841846275,0.545454545,2,103.3790909,1
My love for Frida Kahlo is indescribable.,41,1,5,7,7,3,31,0,4,1,6,0,1,14.41142857,8.514285714,8.984285714,0.3472,8.841846275,0.571428571,6,66.78714286,1
RT @LANDO_BL00D: When U fucking her so good U accidentally choke her to death but she liked it http://t.co/IqSKEl6X6V,117,1,5.210526316,19,17,19,68,4,16,8,18,4,8,18.85052632,11.81052632,10.888,0.9424,8.841846275,0.263157895,2,116.3078947,1
RT @JonasCottingham: Happy #BlackOutDay to all the beautiful shades of Black and Brown!,87,1,5.769230769,13,13,10,61,1,7,4,12,0,4,21.27384615,14.43076923,16.59076923,0.6448,13.0238668,1,9,56.97846154,1
RT @kingdannyyonce: He's a cop.. http://t.co/yiNQrblc4X,55,3,8.333333333,6,6,6,33,1,7,10,5,1,10,23.3,14.13333333,14.05238095,0.2976,8.841846275,1,5,63.805,1
@babyzooted are any of the charms nickle free?,46,1,4.875,8,8,0,37,0,8,2,7,0,2,14.31,8.2,9.6525,0.3968,8.841846275,1.375,5,71.815,1
yeheeey!! multiple for 5 years - Approved!! http://t.co/l8V2OPCAle,66,5,7.375,8,8,6,40,0,7,10,7,3,10,14.21,25.64,14.83666667,0.3968,8.841846275,1.125,0,99.461,1
a bucket of sweat?? LoL ,24,2,3.8,5,5,2,15,0,4,2,5,0,2,0.584,1,2.736,0.248,3.1291,0.2,0,102.7775,1
globe online payment ... success!! no more lines of waiting ... *wheeeew! ,74,9,5.166666667,12,11,0,52,0,10,10,12,0,10,-1.74,13.86666667,9.909666667,0.5952,3.1291,1.083333333,-1,106.7816667,1
Thank you for my breakfast chocho ... ,38,3,4.428571429,7,7,1,27,0,5,3,7,0,3,3.434285714,12.36190476,7.475,0.3472,3.1291,0.857142857,-1,107.7809524,1
@ItsMareseMalvar mai nakita ako murang fare but june 10-17 .. anong date mag start school niyo?,95,3,5,16,16,3,68,0,13,5,15,4,5,13.5625,9.633333333,10.894,0.7936,11.20814326,0.9375,4,74.52166667,1
"@ItsMareseMalvar pls email me your complete name, age and birthday .. kalealexa@gmail.com my email ..",101,5,5.8,15,13,3,76,0,14,8,14,0,8,13.92533333,19.86666667,12.19119048,0.744,11.20814326,1.666666667,6,57.15,1
"@ItsMareseMalvar marese, ito lang access ko sa work table ko i cant use cp .. ano email mo??",92,4,4.166666667,18,17,3,66,0,16,6,17,0,6,7.675555556,8.466666667,7.201176471,0.8928,11.20814326,1,3,80.0675,1
i thought am shift all the way ... http://t.co/WozUVMbsif,57,4,5.444444444,9,9,4,37,0,10,8,8,0,8,8.284444444,5.344444444,6.76,0.4464,8.841846275,0.777777778,-3,119.95125,1
tsk tsk tsk ... and it woke me up dissapointed ,47,3,3.7,10,8,0,34,0,9,3,10,0,3,2.956,5.333333333,2.276666667,0.496,8.841846275,0.5,-6,144.2316667,1
"just woke up .. saw my email, schedule then viola! crap ...! good thing i havent pass my GC.",92,8,3.894736842,19,18,2,63,1,16,9,18,0,9,0.208421053,7.265789474,3.288333333,0.9424,8.841846275,0.473684211,-2,115.3717434,1
since im back to morning shift .. new lesson to learn. ,55,3,4,11,10,0,41,0,10,3,11,0,3,5.527272727,1.466666667,4.149,0.5456,3.1291,0.181818182,-2,118.5133333,1
vintage P.O Box ??,18,3,3.75,4,4,3,9,2,1,3,3,0,3,-11.54,10.53333333,-4.166,0.1984,3.1291,0.75,-6,142.0316667,1
we can do this! #StayPositive,29,1,5,5,5,2,21,0,4,2,4,0,2,12.384,10,8.388,0.248,8.841846275,0.6,1,100.24,1
"you don't have the right to judge, coz you don't even know me at all.",69,1,3.666666667,15,13,0,51,0,17,4,14,0,4,9.274666667,11.33333333,7.422,0.744,3.1291,0.533333333,4,95.73,1
Sometimes silence can be a powerful tool for making others feel their mistakes. #hugotpamore,92,1,5.642857143,14,14,1,76,0,13,2,13,0,2,20.72571429,19.88571429,12.34857143,0.6944,11.20814326,1.071428571,8,65.725,1
"If the world was just going to punish me for my choices, it shouldn't have given me options in the first place. #hugotpamore",124,1,4.434782609,23,21,1,97,0,23,4,22,0,4,14.61391304,14.4173913,9.303478261,1.1408,8.841846275,0.608695652,6,95.21173913,1
"People cry, not because they're weak. It's because they've been strong for too long. #hugotpamore",97,2,5.533333333,15,14,2,74,0,16,7,14,0,7,18.27733333,19,10.272,0.744,8.841846275,1.4,2,92.0625,1
Up again.,9,1,4,2,2,1,6,0,1,1,1,0,1,-4.14,20.8,-1.59,0.0992,3.1291,1.5,-3,120.205,1
Brunch -&gt; sleep attack.,26,1,5.75,4,4,1,18,0,3,4,3,0,4,15.02,1.6,10.0075,0.1984,3.1291,0,-2,118.175,1
Waking up.,10,1,4.5,2,2,1,7,0,1,1,1,0,1,-1.2,0.8,0.765,0.0992,3.1291,0,-3,120.205,1
Sleepy so second sleep.,23,1,5,4,4,1,18,0,3,1,3,0,1,10.61,11.6,6.475,0.1984,3.1291,0.75,4,75.875,1
Awake but nauseous.,19,1,5.666666667,3,3,1,15,0,2,1,2,0,1,11.57333333,27.86666667,8.33,0.1488,8.841846275,1,5,62.79,1
Managed to get topup for electricity and pick up my parking badge after noon.,77,1,4.571428571,14,14,1,62,0,13,1,13,0,1,14.42571429,11.31428571,11.13857143,0.6944,11.20814326,0.571428571,5,83.85357143,1
"Sleep attack and cocodamol for sudden pc8.5 headache. I did do a lot today, I suppose.",86,3,4.4375,16,15,3,62,2,13,4,15,2,4,10.255,12.13333333,4.122156863,0.7936,13.0238668,0.8125,2,90.38416667,1
"@Tesco to sammi who was jealous of me going back to bed, I have multiple sclerosis, cannot work and have chronic fatigue. Jealous now?",134,2,4.625,24,22,3,103,1,21,5,23,0,5,14.56333333,13.13333333,10.475,1.1904,11.20814326,0.791666667,4,85.38,1
Up again. Slept right until my alarm. I do seem to sleep more deeply in daylight.,81,3,4.125,16,16,3,60,1,13,3,15,0,3,8.4175,9.633333333,3.609166667,0.7936,3.1291,0.6875,-2,116.8216667,1
RT @SelenaLaLeyenda: @SelenaLaLeyenda bien presente en los #Billboards2015 con @JLo y #LosDinos. #SiempreSelena http://t.co/e8T75ctjPX,134,2,8.642857143,14,14,18,83,1,9,13,13,7,13,36.25142857,19.94285714,22.204,0.6944,14.55459255,1.285714286,15,0.315714286,1
Loved Jlo's Tribute to Selena specially having the Dinos there playing. Just Beautiful ,87,1,5.692307692,13,13,7,65,0,7,2,13,0,2,21.27384615,20.58461538,12.25384615,0.6448,11.20814326,1.307692308,9,56.97846154,1
Wth is up with all my cuzins Daughters? They been getting knocked up in such a young age. ,90,2,4,18,17,3,67,0,15,2,18,0,2,10.31111111,8.044444444,10.59666667,0.8928,3.1291,0.666666667,2,99,1
\Debemos Escuchar al nio que fuimos un da y que existe dentro de nosotros. Ese nio entiende de https://t.co/VPXP2L6O7Z",119,2,5.315789474,19,16,10,80,1,18,8,18,3,8,17.91157895,16.43157895,9.221333333,0.9424,11.20814326,1.421052632,1,108.1398684,1
There was an earthquake? Once again I didn't feel it lol,56,1,4.181818182,11,11,3,41,1,9,2,10,0,2,11.44363636,11.67272727,8.048181818,0.5456,8.841846275,0.636363636,0,111.07,1
Woah! \ Bride of the Demon\" I did not see that coming. #Arrow",63,2,3.923076923,13,13,5,39,1,7,7,12,0,7,8.141538462,2.6,3.920769231,0.6448,3.1291,0.461538462,-4,135.1605769,1
\My name WAS Oliver Queen...\" Ahhh ",37,3,4.428571429,7,7,7,17,1,1,7,6,0,7,2.594285714,12.36190476,0.5875,0.3472,3.1291,0.428571429,-6,144.0380952,1
@mely_girl24 I try! Lol,23,1,5,4,4,2,13,1,2,3,3,2,3,10.61,11.6,7.6525,0.1984,8.841846275,0.75,1,97.025,1
"DEMONS behind Magicians - Criss Angel, David Blaine, Copperfield https://t.co/xOxdg1rAgP via @YouTube",101,1,7.5,12,12,17,63,1,5,9,11,1,9,31.22333333,21.46666667,18.05076923,0.5952,11.20814326,1.25,7,67.755,1
Oprah is POSSESSED by a Demon? (LOOK) https://t.co/gr12XcjKoN via @YouTube,74,2,6.5,10,10,20,34,2,7,9,9,2,9,21.792,10,12.57727273,0.496,3.1291,0.7,-1,108.7,1
Melissa Tkautz - Read My Lips Send-Up https://t.co/JLbQiefLsT via @YouTube,74,1,6.5,10,10,14,43,0,4,8,9,0,8,24.752,16,12.57727273,0.496,8.841846275,1.2,4,86.705,1
Melissa Tkautz- Lets Get Pumping (Fan Vid) https://t.co/92em6RMPdN via @YouTube,79,1,7,10,10,13,45,0,4,9,9,3,9,27.692,12,14.71818182,0.496,8.841846275,0.9,5,78.245,1
In the Unlikely Event... https://t.co/O1zxW1Njs0 via @YouTube,61,4,7.857142857,7,7,8,35,0,5,9,6,3,9,18.52571429,12.12857143,12.87333333,0.3472,3.1291,1.428571429,-5,132.5444643,1
Best Funny Southwest Airlines flight attendants  Jan 1 15 https://t.co/WoS4P3XWQf via @YouTube,94,1,6.833333333,12,12,13,58,0,6,6,12,5,6,27.79333333,18.13333333,15.51461538,0.5952,11.20814326,1.25,5,81.855,1
"Martika   Love, thy will be done  French TV 1992 Live https://t.co/rMaj2VZDjG via @YouTube",90,1,5.769230769,13,13,13,50,1,8,7,15,5,7,22.63076923,11.35384615,12.01214286,0.6448,8.841846275,0.692307692,2,102.5323077,1
CHOCOLATE FUDGE (In 90 seconds) - 3 Ingredients https://t.co/GRNbYusIbV via @YouTube,84,1,6.727272727,11,11,24,38,2,5,9,10,3,9,26.41090909,18.94545455,14.1475,0.5456,3.1291,0.818181818,-2,126.4518182,1
My Favorite Martian - Unidentified Flying Uncle Martin [Season 1- Episod... https://t.co/ZrLjPYCTUC via @YouTube,112,4,7.071428571,14,14,19,67,0,4,12,13,1,12,22.78285714,21.4,14.668,0.6944,11.20814326,1.285714286,3,76.3825,1
Puff Pastry Cheese Twists https://t.co/u8zL4EG6fr via @YouTube,62,1,8,7,7,9,38,0,4,6,6,3,6,32.05142857,19.94285714,16.48375,0.3472,3.1291,1.285714286,4,78.87285714,1
Cheese and Bacon Twists - RECIPE https://t.co/c1dPStVW4k via @YouTube,69,1,6.777777778,9,9,15,37,1,5,7,8,2,7,25.99111111,16.93333333,13.098,0.4464,3.1291,1.111111111,0,113.1,1
Puffed Cheddar Cheese Twists Recipe (Quick &amp; Easy Party Appetizer) https://t.co/x9L29sg6Pt via @YouTube,107,1,7.307692308,13,13,13,68,0,5,10,12,4,10,30.32,20.58461538,17.73142857,0.6448,8.841846275,1.153846154,8,63.48615385,1
Cheesy Cracker Snack's https://t.co/pAFftzvjjD via @YouTube,59,1,9,6,6,8,39,0,5,7,5,0,7,37.08666667,15.73333333,19.34571429,0.2976,3.1291,1.5,2,87.945,1
Martika - Love...Thy Will Be Done https://t.co/3hqrOC4LeD via @YouTube,70,4,6.888888889,9,9,12,38,0,4,10,8,2,10,16.77777778,18.67777778,8.663333333,0.4464,11.20814326,1.333333333,2,82.35125,1
More Than You Know (Powermix) - Martika https://t.co/n7C4ozOj4f via @YouTube,76,1,6.7,10,10,10,45,0,4,9,9,3,9,25.928,24,13.43363636,0.496,11.20814326,1.5,6,69.785,1
She's the cutest baby I've ever seen!! :D http://t.co/KAAsZLRjbm,64,3,6.222222222,9,9,9,37,2,10,10,8,0,10,16.14666667,5.644444444,10.743,0.4464,3.1291,0.111111111,-5,137.99,1
There's nothing better than spending time with family. Especially getting to know the newest members :D,103,1,5.5,16,16,3,82,1,14,3,15,0,3,20.2025,11.4,12.301875,0.7936,8.841846275,0.5625,5,90.1325,1
@Cinderella_dlg you know it!!,29,2,6.5,4,4,1,21,0,3,4,3,0,4,12.03,20.8,14.7175,0.1984,8.841846275,1.75,9,35.605,1
@Cinderella_dlg for sure!! If I relocate out there it'll be awesome!!,69,4,5.363636364,11,11,3,49,1,9,7,10,0,7,10.32,12.00909091,13.61454545,0.5456,11.20814326,1.090909091,2,88.68011364,1
"@Cinderella_dlg thanks! I hope I did!! Yes, I'm on the job hunt and that includes SA!",85,4,4.375,16,15,7,55,4,11,8,15,0,8,8.0375,6.6,11.591875,0.7936,8.841846275,0.5625,-4,128.75,1
"@Cinderella_dlg that happens to me all the time. Also, I'm back and here to stay! :D",84,2,4.3125,16,15,4,58,2,13,7,15,0,7,11.37,5.7,6.70875,0.7936,8.841846275,0.5,0,108.8275,1
Valentina and I are watching Dragon Ball together!! #ProudAunt,62,2,6,9,9,6,45,1,4,3,8,0,3,18.12888889,15.13333333,15.51666667,0.4464,11.20814326,1.444444444,6,61.2675,1
@roxie_1124 hey hoe I'm back!!,30,2,5.2,5,5,1,16,1,5,5,4,4,5,7.64,9,9.33,0.248,3.1291,1.8,-5,136.6175,1
"I'm never traveling with so much crap ever again. Also, I'm never traveling with a laptop again.",96,2,4.705882353,17,12,3,72,2,16,5,16,0,5,13.92235294,12.81176471,8.586470588,0.8432,3.1291,0.823529412,2,98.67808824,1
"Off to New York City, followed by Austin, TEXAS!! #headinghomebitches http://t.co/oxDftzcrEj",92,3,7.454545455,11,11,12,60,1,7,10,10,0,10,25.30545455,16.01212121,17.2875,0.5456,11.20814326,0.636363636,6,56.98606061,1
