Account,NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfUppercaseCharactersMean,NumberOfUppercaseCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfNumbersMean, NumberOfNumbersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, AverageLengthOfWordsMean,AverageLengthOfWordsStd, NumberOfPropositionsMean, NumberOfPropositionsStd, AverageLengthOfPropositionsMean,AverageLengthOfPropositionsStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, NumberOfUppercaseWordsMean,NumberOfUppercaseWordsStd, VocabularyRichnessMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,SMOG(SimpleMeasureOfGobbledygook)Mean,SMOG(SimpleMeasureOfGobbledygook)Std,LinsearWriteMean,LinsearWriteStd,Class
2090,120.6,9.414881837,0,0,102.3,10.77079384,5.3,2.32594067,0.1,0.3,12.9,1.135781669,13.9,1.135781669,7.825,0.855046782,3,1.095445115,5.206,1.421036242,3.6,1.854723699,13.7,1.1,0,0,0.992,0.024,15.99,3.826081546,-2.517,22.85474482,16.126,1.78111875,20.49,4.622218082,24.226,5.56146959,19.854,4.539976211,0,0,8.475,4.170506564,1
2100,132.3,11.73072888,0,0,110.9,12.44548111,6.6,2.939387691,1,2.683281573,13.8,1.886796226,14.8,1.886796226,7.983,0.952701947,2.5,0.670820393,6.217,1.215146493,4.3,2.282542442,14.5,1.565247584,0,0,0.977,0.03579106,17.04,6.122613821,-6.292,40.78764416,16.715,1.220682186,22.64,4.88634833,26.079,6.052767053,20.777,7.84845214,0,0,11.025,4.778140329,1
2110,117.5,8.958236434,0,0,98.1,7.063285355,6.5,1.802775638,0.2,0.6,12.7,1.95192213,13.7,1.95192213,7.69,0.813461738,3,0.894427191,4.927,1.293576824,4.6,1.280624847,13.5,1.857417562,0,0,0.985,0.030083218,15.52,3.881185386,1.359,26.20256722,15.557,1.910225379,20.58,4.500622179,23.746,5.320242852,21.16,6.241636003,0,0,8.875,3.459136453,1
2120,96.7,17.32656919,0,0,77.2,17.6963273,8.5,2.109502311,0.1,0.3,10.9,0.830662386,11.9,0.830662386,7.786,0.964937304,4.3,1.004987562,3.325,1.1535272,7.1,1.972308292,10.8,1.166190379,0,0,1,0,12.6,5.972771551,19.259,40.50648453,13.639,2.089327404,20.24,4.778744605,21.686,6.049583787,15.379,6.433492753,0,0,6.4,3.469870315,1
2130,82.8,8.852118391,0,0,65.1,8.395832299,8.4,1.562049935,0,0,9.3,0.9,10.3,0.9,7.949,1.456842133,4.6,0.489897949,2.52,0.243104916,7.2,1.4,9,1.183215957,0,0,0.969,0.062361847,14.32,7.665611522,3.964,53.13570385,13.933,3.489713599,21.75,7.371736566,22.697,8.536354081,16.186,7.027419441,0,0,5.5,2.527350391,1
2140,93.1,9.575489544,0,0,73.5,9.38349615,9.1,1.513274595,0,0,10.5,1.118033989,11.5,1.118033989,8.014,1.084916587,4.7,0.458257569,2.725,0.307611768,7.9,1.7,10.3,1.187434209,0,0,0.989,0.033,14.68,5.455969208,3.029,36.98628731,14.17,2.233687534,21.55,5.361389745,22.417,7.116154931,17.713,8.101898605,0.88,2.64,6.808,3.747302496,1
2150,94.4,9.167333309,0,0,73.4,7.2277244,10.1,3.207802986,0.2,0.4,10.7,1.9,11.7,1.9,7.953,0.927243765,4.9,0.3,2.605,0.436147911,7.9,2.547547841,10.1,1.920937271,0,0,0.988,0.036,13.22,4.11966018,13.845,30.5282054,13.063,2.114942316,22.38,4.774892669,23.316,5.688539707,15.636,3.938152359,0,0,5.825,2.11851953,1
2160,96.1,10.45418576,0,0,76.9,9.278469701,8.5,1.118033989,0,0,10.7,2.238302929,11.7,2.238302929,8.314,1.55830164,5,0,2.58,0.485386444,7.3,1.1,10.8,2.271563338,0,0,0.989,0.033,14.82,4.04519468,1.61,28.4928921,13.11,2.713871773,22.32,6.827708254,23.91,7.090892751,15.611,4.828599072,0,0,6.125,3.219569071,1
2170,100.3,7.874642849,0,0,78.5,6.020797289,10,3.098386677,0.1,0.3,11.7,1.55241747,12.7,1.55241747,7.755,0.701558978,4.9,0.3,2.805,0.340917879,8,2.408318916,11.6,1.854723699,0,0,0.988,0.036,12.59,3.084298948,17.685,23.42410009,12.865,1.536081053,20.53,3.572128217,21.701,4.409345643,14.271,4.291844475,0,0,5.375,2.377630123,1
2180,92.7,7.443789358,0,0,71.9,6.97782201,7.5,1.565247584,2,0.894427191,11.3,1.791647287,12.3,1.791647287,7.14,0.855090638,4.7,0.640312424,2.937,0.495904225,6.5,1.688194302,11.6,1.959591794,0,0,0.992,0.024,9.35,3.390648905,40.581,23.55182432,13.015,2.650763098,16.36,4.828084506,18.012,4.81834785,11.493,4.549751751,0,0,4.7,1.9,1
2190,88.2,7.194442299,0,0,67.8,6.53911309,7.4,1.743559577,2.1,0.3,10.9,1.3,11.9,1.3,6.881,0.498185708,4.6,0.916515139,3.03,0.855628424,6.3,1.734935157,11.1,1.220655562,0,0,1,0,7.97,2.743373835,48.517,20.52063695,13.101,2.831389941,14.84,2.441802613,16.181,2.627369217,9.698,5.070366456,0,0,3.525,0.809706737,1
2200,95.3,11.07293999,0,0,72.7,10.11978261,9.4,2.457641145,2.2,0.6,11,1.414213562,12,1.414213562,7.213,0.548015511,5,0.447213595,2.602,0.175316856,8.4,2.457641145,11.2,1.53622915,0,0,1,0,10.49,3.015443583,32.272,21.89825281,13.683,2.878551893,18.3,3.083828789,19.301,3.632229205,13.161,6.592138424,0,0,4.75,1.654539211,1
2210,93.9,13.52368293,0,0,70.5,11.63829884,10.1,3.7,2.2,0.6,11.1,1.868154169,12.1,1.868154169,6.906,0.759502469,4.9,0.3,2.74,0.400499688,9.1,3.7,11.2,1.833030278,0,0,1,0,9.02,3.078246254,41.986,22.10629196,14.396,2.429885594,17.38,4.583186664,17.636,3.839734887,8.918,3.90888424,0,0,3.875,1.601756848,1
2220,82,9.110433579,0,0,61.8,6.925315877,8.6,3.006659276,2,0,9.6,1.019803903,10.6,1.019803903,6.983,0.874025743,4,0.447213595,2.94,0.287054002,7.6,3.006659276,10,1.183215957,0,0,1,0,10.01,3.887016851,38.906,26.81414298,13.137,2.545608179,18.37,5.402786318,18.931,5.509205841,11.657,6.275162229,0,0,5.95,2.215851981,1
2230,95.2,8.919641248,0,0,74,9.444575162,8.3,2.147091055,1.8,0.6,11.1,1.577973384,12.1,1.577973384,7.215,0.962862919,4.6,0.663324958,2.943,0.504123993,7.2,2.315167381,11.2,1.661324773,0,0,1,0,10.65,5.288903478,30.243,36.83779908,14.457,3.220351068,17.77,5.42771591,19.363,6.397372976,12.494,6.770871731,0,0,4.4,1.677796174,1
2240,109,6.723094526,0,0,92.3,6.634003316,5.3,0.458257569,0.5,1.204159458,10.9,0.538516481,11.9,0.538516481,7.013,0.620307182,2,0,5.95,0.26925824,3.3,0.458257569,11.8,0.6,0,0,1,0,13.05,3.169936908,12.14,22.9101567,16.329,1.619008647,20.47,3.301832824,24.512,3.905861749,11.935,4.994072987,0,0,3.475,0.606733055,1
2250,111.7,3.689173349,0,0,95.4,3.611094017,5.8,1.166190379,0,0,10.5,1.024695077,11.5,1.024695077,7.565,1.457623065,2,0,5.75,0.512347538,3.6,0.916515139,11.5,1.024695077,0,0,1,0,17.1,4.453088816,-17.277,32.70915592,17.342,2.194236997,23.25,4.23160726,27.643,4.876096902,14.111,4.270207138,0,0,3.725,0.361420807,1
2260,112.1,5.337602458,0,0,95.1,4.678675026,5.7,0.9,0.4,1.2,10.9,0.7,11.9,0.7,7.108,0.690402781,2,0,5.95,0.35,3.6,0.8,11.9,0.7,0,0,1,0,15.06,3.867609081,-2.248,28.07710092,16.467,1.708871265,21.77,3.406772666,25.94,3.984334323,12.556,3.556692846,0,0,3.625,0.43660623,1
2270,109.1,6.7,0,0,93,6.32455532,5.5,0.921954446,0,0,10.6,0.663324958,11.6,0.663324958,7.283,0.556687525,2,0,5.8,0.331662479,3.4,0.916515139,11.6,0.663324958,0,0,1,0,16.28,3.307808942,-10.32,25.99259395,17.08,1.85541909,21.88,3.36951035,25.972,3.764823502,14.03,3.381032387,0,0,4.05,1.053565375,1
2280,110.6,4.2,0,0,94,3.464101615,5.5,0.806225775,0,0,11.1,1.044030651,12.1,1.044030651,7.325,0.654251481,2,0,6.05,0.522015325,3.3,0.640312424,12.1,1.044030651,0,0,1,0,14.74,3.230851281,0.189,23.65163946,16.831,1.664784971,20.56,2.833796041,24.584,3.093280459,12.378,2.598825889,0,0,3.625,0.527375578,1
2290,106.7,10.28639879,0,0,88.9,10.58725649,6.2,1.077032961,0,0,11.6,0.916515139,12.6,0.916515139,7.108,0.652836886,3.2,1.469693846,4.79,1.609627286,4.1,1.135781669,12.2,0.748331477,0,0,0.983,0.03407345,13.49,3.982072325,10.478,28.60345846,15.619,2.524097661,18.7,4.106336567,21.861,5.04187356,11.599,4.715263407,0,0,4.175,1.392165579,1
2300,107.3,9.497894504,0,0,89.8,9.206519429,5.7,0.640312424,0,0,11.8,0.748331477,12.8,0.748331477,7.739,0.425709995,4.4,0.489897949,3.145,0.355281578,3.7,0.640312424,11.8,0.748331477,0,0,0.955,0.060539243,15.59,2.82752542,-0.958,16.77157047,13.977,1.643946775,21.06,2.830618307,24.456,3.167583306,18.04,3.326899457,0,0,7.85,3.715171598,1
2310,108,6.678323143,0,0,89.7,6.277738446,6.1,1.220655562,0,0,12.2,1.166190379,13.2,1.166190379,7.537,0.709479387,4.4,0.489897949,3.27,0.46593991,4.2,1.077032961,12.3,1.268857754,0,0,0.95,0.05585696,15.81,2.49417321,1.188,16.40642423,13.946,1.710428017,21.28,3.543105982,24.262,4.319994907,17.81,3.243988286,0,0,9.3,2.731300057,1
2320,105.3,8.33126641,0,0,87.1,7.980601481,6.4,0.916515139,0,0,11.8,0.748331477,12.8,0.748331477,7.538,0.841413097,4.5,0.5,3.075,0.321908372,4.4,0.916515139,11.9,0.7,0,0,0.954,0.061188234,15.44,3.90850355,2.103,26.96150925,14.377,1.656237,21.01,4.15390178,23.905,4.769876833,17.259,4.136448839,0,0,8.375,3.444651651,1
2330,102.4444444,7.67551824,0,0,86.11111111,7.340064251,5.222222222,0.41573971,0,0,11.11111111,0.737027731,12.11111111,0.737027731,7.948888889,0.564632515,4.111111111,0.314269681,3.211111111,0.326409574,3.222222222,0.41573971,11.11111111,0.737027731,0,0,0.96,0.044969125,17.33333333,1.896780899,-9.366666667,13.62548837,15.47555556,1.723317931,22.91111111,2.436958234,26.56,3.031127403,21.27444444,1.611852703,0,0,10.5,1.247219129,1
2340,101.1,6.518435395,0,0,84.1,6.106553856,6.2,0.6,0,0,10.8,1.166190379,11.8,1.166190379,8.125,0.670510999,4.2,0.4,3.055,0.21148286,4.2,0.6,10.9,1.374772708,0,0,0.972,0.058787754,17.88,5.078149269,-16.055,34.61887238,15.454,1.636118578,23.03,4.069410277,26.487,4.659384187,19.279,4.71532703,0,0,9.125,3.064412668,1
2350,97.3,16.84666139,0,0,81.4,13.9656722,4.8,1.886796226,0.3,0.640312424,10.8,2.357965225,11.8,2.357965225,7.748,1.059290328,3,1,4.45,1.395528574,3.2,1.886796226,11.1,1.972308292,0,0,0.983,0.03407345,15.88,3.46173367,0.985,26.7979724,15.277,1.206797829,21.18,3.458843737,24.703,4.440666729,18.973,4.09943179,0,0,9.5,2.224859546,1
2360,100.6,7.017121917,0,0,87.7,7.389857915,3.1,0.538516481,0.4,1.2,9.4,0.663324958,10.4,0.663324958,8.682,0.826943771,2,0,5.2,0.331662479,2.1,0.538516481,10.4,0.663324958,0,0,1,0,19.73,4.202392176,-27.914,30.431398,16.788,1.257233471,25.19,3.493264948,30.642,4.353699117,23.82,4.661371043,0,0,10,1.74642492,1
2370,95.5,7.29725976,0,0,81.7,6.738694236,3.6,2.059126028,0.6,1.2,9.6,0.663324958,10.6,0.663324958,8.05,0.687517273,2.1,0.3,5.117,0.581550514,2,1,10.4,0.916515139,0,0,1,0,17.06,2.486443243,-8.559,18.44234066,15.916,1.75876775,22.46,3.465890939,27.324,4.359252688,21.497,3.504879599,0,0,9,1,1
2380,100.5,3.69459064,0,0,87,3.521363372,3.3,1.345362405,0.3,0.640312424,9.9,0.7,10.9,0.7,8.408,0.807549379,2,0,5.45,0.35,2,0.632455532,10.9,0.7,0,0,0.981,0.038587563,18.05,2.295321328,-14.888,17.66500937,15.931,1.611647914,23.31,2.467164364,28.313,3.174341034,21.421,4.067877702,0,0,10.05,1.456880228,1
2390,89.9,10.7,0,0,73.3,10.6400188,6.3,4.267317659,0,0,10.3,1.95192213,11.3,1.95192213,7.262,1.239748362,3.9,1.7,3.639,1.39279898,5.3,4.267317659,10.8,2.039607805,0,0,1,0,13.44,8.074057221,15.403,56.93086545,13.4,3.152065989,19.22,6.502276524,21.585,7.723221154,14.158,8.01193335,0,0,6.85,2.82001773,1
2400,82.4,11.60344776,0,0,65.6,9.123595782,6.6,1.685229955,0,0,10.2,1.53622915,11.2,1.53622915,6.685,0.662151795,4.4,0.489897949,2.795,0.416203075,5.6,1.685229955,10.2,1.53622915,0,0,1,0,7.14,2.886936092,58.228,18.39367707,13.279,2.430997532,16.11,3.382735579,17.672,3.691153749,8.822,4.174402472,0,0,4.675,2.049542632,1
2410,79.7,18.3360301,0,0,63,15.60769041,8.6,2.973213749,0,0,8.1,1.445683229,9.1,1.445683229,7.979,1.12567713,4.1,0.3,2.455,0.195512148,7.6,2.973213749,8.3,1.486606875,0,0,1,0,14.01,3.690108399,8.025,25.96630442,14.939,2.303147629,23.74,3.662567406,24.968,4.513703136,15.738,6.100458671,0,0,5.825,1.275,1
2420,70.5,8.440971508,0,0,55.6,7.851114571,6.6,0.663324958,0,0,8.3,1.004987562,9.3,1.004987562,7.101,1.083443123,4,0,2.575,0.251246891,5.6,0.663324958,8.3,1.004987562,0,0,1,0,9.48,3.009252399,41.902,22.12002387,12.67,2.135392236,18.33,4.462297614,19.657,4.774450858,9.834,3.363665263,0,0,5.35,1.119151464,1
2430,78.5,3.905124838,0,0,62.6,3.666060556,7.3,0.781024968,0,0,8.6,0.916515139,9.6,0.916515139,7.766,1.056619137,4,0,2.65,0.229128785,6.3,0.781024968,8.6,0.916515139,0,0,0.986,0.042,11.82,2.164162656,25.524,16.166445,13.152,2.293101829,21.49,3.079431766,23.24,3.44395993,13.277,3.845249147,0,0,6,0.921954446,1
2440,87.6,6.499230724,0,0,70.8,5.418486874,7.4,1.743559577,0,0,9.4,0.663324958,10.4,0.663324958,7.684,0.450648422,4.4,0.663324958,2.65,0.279284801,5.9,2.022374842,9.6,0.8,0,0,1,0,11.27,1.967256974,27.483,12.95142699,14.608,2.174859995,20.79,3.271528695,22.882,3.484295625,12.194,3.460847295,0,0,5.2,1.826198237,1
2450,87.1,7.968061245,0,0,70.7,7.184010022,7.4,1.428285686,0,0,9,1.183215957,10,1.183215957,7.677,0.889832007,4.3,0.640312424,2.662,0.392295807,5.8,1.469693846,9.9,1.135781669,0,0,1,0,9.89,3.256516544,36.504,22.82122135,13.025,2.786730163,19.45,3.491203231,21.059,4.453478304,13.104,4.530130682,0,0,4.85,2.813360979,1
2460,85.7,6.197580173,0,0,69.2,5.381449619,6.9,1.135781669,0,0,9.6,1.019803903,10.6,1.019803903,7.636,0.800227468,4.6,0.663324958,2.595,0.556978456,5,1,9.8,1.077032961,0,0,1,0,10.88,2.20626381,30.177,15.53076434,13.507,2.711376219,19.42,2.541180828,21.103,2.635329391,14.583,3.366764174,0,0,5.25,2.027929979,1
2470,90,11.16243701,0,0,74.3,10.77079384,5.3,2.051828453,0,0,10.4,1.8,11.4,1.8,6.85,0.944859778,2.8,1.077032961,4.485,1.190388592,3.3,2.051828453,11.9,1.920937271,0,0,0.966,0.042,11.35,5.077450147,30.583,34.19102428,14.715,3.035276758,17.26,5.347560191,19.77,6.934316116,10.682,6.045321828,0,0,5.775,2.575,1
2480,84.8,8.280096618,0,0,72.3,7.78524245,3.9,0.3,0,0,8.6,0.8,9.6,0.8,7.6,0.739405166,2,0,4.8,0.4,1.9,0.3,10.5,0.921954446,0,0,0.968,0.048948953,13.16,3.396822044,17.736,24.62417032,16.143,1.6675494,20.87,3.661161018,24.934,4.489967038,13.08,3.967324035,0,0,6.2,1.208304597,1
2490,99.4,9.090654542,0,0,84.7,8.832326987,4.4,0.489897949,0,0,10.3,0.9,11.3,0.9,7.595,0.870198253,2,0,5.65,0.45,2.4,0.489897949,12.7,0.781024968,0,0,0.992,0.024,14.68,3.492219924,10.09,25.83799644,16.601,2.517802415,21.6,4.583448483,25.328,5.545772805,15.382,4.861505528,0,0,7.85,1.304798835,1
2500,96.3,10.29611577,0,0,82.3,9.392017888,4,0,0,0,10,1.183215957,11,1.183215957,7.655,0.751854374,2,0,5.5,0.591607978,2,0,12,1.183215957,0,0,0.989,0.033,14.55,1.73104015,10.396,13.29830305,17.353,1.679732419,21.13,2.784977558,24.971,3.485178475,16.823,3.105723909,0,0,8.2,1.469693846,1
2510,40.6,19.09554922,0,0,33.3,16.88223919,2.3,0.640312424,0,0,5,1.788854382,6,1.788854382,5.684,1.016869707,2,0,3,0.894427191,2.1,0.3,6.1,2.071231518,0,0,0.955,0.090691786,3.58,4.799333287,79.277,31.76882782,8.445,5.387302201,8.63,5.853383637,9.767,7.22234041,4.151,4.422308108,0,0,2.325,1.823629622,1
2520,31.2,4.354308211,0,0,24.7,3.579106034,2.3,0.458257569,0,0,4.2,0.6,5.2,0.6,4.915,0.753674333,2.1,0.3,2.5,0.316227766,2.3,0.458257569,5.2,0.6,0,0,0.96,0.08,0.33,2.75319814,101.731,20.25897009,8.526,1.715734245,5.74,3.142355804,6.093,3.53523705,2.08,0.24,0,0,1.6,0.3,1
2530,37.5,3.748332963,0,0,30.8,3.709447398,2.3,0.458257569,0,0,4.4,0.489897949,5.4,0.489897949,5.957,0.86518264,2.1,0.3,2.617,0.393955581,2.3,0.458257569,5.4,0.489897949,0,0,0.96,0.08,5.87,4.55149426,62.611,32.83498148,8.542,2.961245684,10.36,4.059605892,11.949,4.684970544,5.894,3.750432508,0,0,2.4,0.6244998,1
2540,56.8,13.91977011,0,0,43.5,11.48259553,5.5,0.921954446,0,0,7.8,1.833030278,8.8,1.833030278,5.319,0.690875531,3.2,0.6,2.751,0.282752542,2.5,0.921954446,8.8,1.833030278,0,0,0.785,0.096046864,0.62,2.130633709,97.773,15.43706905,8.575,2.158134611,6.75,3.172144385,5.394,3.819343399,2.14,1.497224098,0.93,1.420598465,1.1,0.257449024,1
2550,55.6,9.531002046,0,0,42.2,7.871467462,5.6,0.663324958,0,0,7.8,1.469693846,8.8,1.469693846,4.902,0.574261265,3.1,0.3,2.827,0.204110264,2.6,0.663324958,8.8,1.469693846,0,0,0.809,0.063631753,0.88,2.536454218,96,17.89632141,8.55,1.232233744,6.31,2.591312409,4.977,3.278390001,1.672,0.090862534,0.31,0.93,1.192,0.367118509,1
2560,50.8,4.770744177,0,0,37.8,4.578209257,5.9,0.538516481,0,0,7.1,0.538516481,8.1,0.538516481,5.107,0.673469376,3,0,2.702,0.179766515,2.9,0.538516481,8.1,0.538516481,0,0,0.76,0.1161895,0.57,2.972221391,97.824,21.10567042,7.795,1.590900688,6.08,2.638863392,3.972,3.153987318,2.12,1.497197382,0,0,1.125,0.230488611,1
2570,47.9,6.024118193,0,0,35.8,5.344155686,5.8,0.4,0,0,6.3,0.640312424,7.3,0.640312424,5.079,0.520297031,3,0,2.431,0.215055807,2.8,0.4,7.3,0.640312424,0,0,0.695,0.068300805,1.75,2.736146926,88.919,19.13729576,9.251,2.520807212,7.2,2.646507132,4.348,3.290844269,1.46,0.128062485,0,0,0.925,0.225,1
2580,46.6,5.607138308,0,0,34.8,5.617828762,5.7,0.458257569,0,0,6.1,0.3,7.1,0.3,5.059,0.783408578,3,0,2.364,0.102,2.7,0.458257569,7.1,0.3,0,0,0.682,0.068963759,-0.1,2.980939449,101.71,21.36325677,7.847,1.990869408,7.26,3.86139871,4.187,4.66823532,2.562,2.274769439,0,0,0.925,0.317214439,1
2590,54,29.87752779,0,0,43.33333333,25.38153309,3.333333333,1.247219129,0,0,7.333333333,3.299831646,8.333333333,3.299831646,5.063333333,1.20748591,2.666666667,0.471404521,3.223333333,1.101403145,3.333333333,1.247219129,8.666666667,3.771236166,0,0,0.916666667,0.11785113,2.233333333,3.714236874,88.52333333,27.97206861,8.97,1.872769785,6.1,4.429446918,6.763333333,4.993411214,4.223333333,2.578582729,3.233333333,4.572623852,2.166666667,0.23570226,1
2600,28.66666667,2.494438258,0,0,22,2.160246899,2,0,0,0,4.666666667,0.471404521,5.666666667,0.471404521,4.006666667,0.289405521,2,0,2.833333333,0.23570226,2,0,5.666666667,0.471404521,0,0,0.943333333,0.080138769,-1.633333333,0.188561808,116.4866667,0.476118566,0.283333333,0.023570226,1.366666667,1.381625452,1.43,1.588479357,2.266666667,0.188561808,0,0,1.833333333,0.23570226,1
2610,30.11111111,3.871389198,0,0,23.55555556,3.370166864,2.333333333,0.471404521,0,0,4.222222222,0.785674201,5.222222222,0.785674201,4.807777778,0.873775687,2,0,2.611111111,0.392837101,2.333333333,0.471404521,5.222222222,0.785674201,0,0,1,0,1.244444444,2.236620025,95.31777778,16.8903495,8.341111111,1.532763984,4.9,3.6,4.882222222,3.708107567,2.088888889,0.314269681,0,0,1.722222222,0.342467445,1
2620,31.9,2.773084925,0,0,25.2,2.561249695,2.6,0.489897949,0,0,4.1,0.538516481,5.1,0.538516481,5.299,0.955577836,2,0,2.55,0.26925824,2.6,0.489897949,5.1,0.538516481,0,0,0.98,0.06,2.68,2.331008365,84.912,17.29015894,6.978,4.149054832,7.11,3.730536154,7.274,3.794567696,3.84,3.501770981,0,0,1.95,0.415331193,1
2630,39.5,5.277309921,0,0,31.4,4.586937976,2.8,0.6,0,0,5.3,0.781024968,6.3,0.781024968,5.303,0.583164642,2,0,3.15,0.390512484,2.8,0.6,6.3,0.781024968,0,0,1,0,3.75,2.421672975,79.466,17.5939036,11.042,2.809155745,7.35,2.248666271,8.323,2.789523436,4.521,2.993330754,0,0,2.55,0.687386354,1
2640,39.6,4.862098312,0,0,31.4,4.176122604,2.7,0.640312424,0,0,5.5,0.670820393,6.5,0.670820393,5.091,0.42236122,2.1,0.3,3.117,0.268702438,2.7,0.640312424,6.5,0.670820393,0,0,1,0,3.13,1.603776792,84.339,10.95467612,10.624,2.757042618,6.54,1.717672844,7.56,2.273200387,5.076,3.046838361,0,0,2.65,0.593717104,1
2650,62.3,11.9,0,0,49.9,10.21224755,4.3,0.458257569,0,0,8.1,1.577973384,9.1,1.577973384,6.311,0.513526046,3.3,0.458257569,2.785,0.513541624,2.3,0.458257569,9.1,1.577973384,0,0,1,0,6.62,2.946116087,61.225,20.00127258,10.634,1.664104564,10.37,2.012486025,11.554,2.722903597,10.011,3.269484516,0,0,4.15,1.624807681,1
2660,55.8,6.705221846,0,0,44.9,5.957348403,4,0,0,0,6.9,0.830662386,7.9,0.830662386,6.768,0.402611475,3,0,2.633,0.278461847,2,0,7.9,0.830662386,0,0,1,0,7.78,2.677984317,53.306,18.71769761,10.564,1.626260742,11.65,1.823321146,13.33,2.268338599,10.683,2.349651251,0,0,4.65,1.025914226,1
2670,61.8,7.025667228,0,0,51,6.434283177,4,0,0,0,6.8,0.871779789,7.8,0.871779789,7.99,1.512177238,3,0,2.601,0.291597325,2,0,7.8,0.871779789,0,0,1,0,10.59,3.608171282,33.103,26.27033424,11.624,1.628343944,15.86,3.046374895,18.394,3.62474606,15.071,4.41455649,0,0,5.5,0.974679434,1
2680,57.6,7.952358141,0,0,47,7.028513356,3.7,0.458257569,0,0,6.9,1.220655562,7.9,1.220655562,7.391,1.046675212,2.6,0.489897949,3.183,0.947608041,1.7,0.458257569,7.9,1.220655562,0,0,0.98,0.06,10.13,3.827283632,36.385,28.06371011,12.754,2.534171265,12.97,2.816398409,15.119,3.633787143,13.253,4.671147718,0,0,5.05,0.878919792,1
2690,61.4,5.8685603,0,0,50.6,5.748043145,3,0,0,0,7.8,0.6,8.8,0.6,7.989,1.13791432,2,0,4.4,0.3,1,0,8.8,0.6,0,0,0.875,0.083695878,10.26,3.200374978,37.165,23.14418339,13.558,0.985391293,11.77,3.317544273,14.274,4.052979645,9.43,2.86977351,0,0,5.4,0.994987437,1
2700,67.4,8.979977728,0,0,56.5,8.285529555,3,0,0,0,7.9,0.943398113,8.9,0.943398113,8.524,1.253365071,1.8,0.4,5.25,1.487447478,1,0,9.1,0.830662386,0,0,0.892,0.089866568,14.1,4.449494353,9.987,32.26087601,14.509,1.417423367,14.54,3.265333061,17.655,4.032302692,11.884,4.274309769,0,0,6.05,1.011187421,1
2710,67.3,11.51564154,0,0,57.9,11.05848091,3,0,0,0,6.4,0.663324958,7.4,0.663324958,9.406,1.506142092,1,0,7.4,0.663324958,1,0,8.4,0.663324958,0,0,0.96,0.08,17.27,5.472120247,-15.565,38.93508065,16.392,1.62841518,20.95,5.321700856,25.456,6.573956495,21.824,5.826333667,0,0,6.5,1.360147051,1
2720,73,8.555699854,0,0,63.6,8.296987405,3,0,0,0,6.4,0.489897949,7.4,0.489897949,10.651,1.28149483,1,0,7.4,0.489897949,1,0,8.4,0.489897949,0,0,0.98,0.06,21.17,4.723991956,-43.486,33.72329112,17.003,1.027550972,24.66,4.289335613,30.024,5.282810237,26.675,2.843002814,0,0,7.3,0.678232998,1
2730,62.6,16.0262285,1.4,1.562049935,49.3,17.90558572,4.1,1.513274595,0,0,7.8,1.469693846,8.8,1.469693846,7.419,2.655983622,2.4,1.428285686,5.103,2.607447219,2.1,1.513274595,8.1,1.577973384,0.8,1.077032961,0.983,0.051,11.22,9.006753022,27.636,64.02459421,11.165,5.611207089,12.36,10.74180618,14.165,13.72767515,14.833,10.25111023,0,0,4.925,2.556975753,1
2740,52,0,2,0,36,0,6,0,0,0,8,0,9,0,5.8,0,4,0,2.25,0,4,0,7,0,2,0,1,0,5,0,66.91,0,10.88,0,3.9,0,2.16,0,6.24,0,0,0,1.75,0,1
2750,34,0,1,0,25,0,2,0,0,0,6,0,7,0,4,0,2,0,3.5,0,1,0,6,0,0,0,1,0,2.5,0,89.75,0,0.35,0,0.9,0,1.57,0,2.8,0,0,0,2.5,0,1
2760,40,7.348469228,0,0,31.83333333,6.202598022,2.833333333,0.897527468,0,0,5.333333333,1.105541597,6.333333333,1.105541597,6.035,1.187388591,2.333333333,0.942809042,3.666666667,1.774407569,2.833333333,0.897527468,5.666666667,1.105541597,0,0,1,0,6.9,4.743767841,55.85333333,34.38297915,9.713333333,4.160811887,10.66666667,4.508387246,11.89166667,5.080775586,5.6,7.525955089,0,0,3.166666667,1.213351648,1
2770,40.1,8.745856162,0,0,32.1,7.892401409,3.1,0.3,0,0,4.9,1.044030651,5.9,1.044030651,6.57,0.768179666,3,0,2.301,0.348753495,3.1,0.3,4.9,1.044030651,0,0,1,0,10.14,4.015519892,30.972,28.57131912,12.933,3.42063459,15.02,3.592993181,15.779,4.760530328,9.56,7.017134743,0,0,2.85,0.975961065,1
